order_original,company_name,hostname_original,hiding_found,hiding_stopped_confirmed_at,url_original,url_checked,url_final,url_edited,server_redirected,result_confirmed,meta_tag,x_robots_tag,robots_txt_restricts,status,error_status_details,collects_minors_data,collects_location_data,collects_reproductive_data,other_company_names_that_use_url_original
1,Explorium Inc.,www.explorium.ai,FALSE,,https://www.explorium.ai/platform-privacy-policy/,https://www.explorium.ai/platform-privacy-policy/,https://www.explorium.ai/platform-privacy-policy/,FALSE,FALSE,FALSE,none found,none found,FALSE,success,,FALSE,FALSE,FALSE,
2,"M1 Data & Analytics, LLC",www.m1-data.com,FALSE,,https://www.m1-data.com/disclosures/,https://www.m1-data.com/disclosures/,https://m1-data.com/disclosures/,FALSE,TRUE,FALSE,none found,none found,FALSE,success,,FALSE,TRUE,FALSE,
3,"Sabio, Inc.",sabio.inc,FALSE,,https://www.sabio.inc/privacypolicy,https://www.sabioctv.com/do-not-sell-my-info,https://www.sabioctv.com/do-not-sell-my-info,TRUE,FALSE,TRUE,none found,none found,FALSE,success,,FALSE,FALSE,FALSE,
4,AppScience,www.appscience.ai,FALSE,,https://www.appscience.ai/privacy-policy,https://www.appscience.ai/privacy-policy,https://www.appscience.ai/privacy-policy,FALSE,FALSE,FALSE,none found,none found,FALSE,success,,FALSE,FALSE,FALSE,
5,LexisNexis,www.lexisnexis.com,FALSE,,https://www.lexisnexis.com/en-us/terms/us-privacy-notice.page,https://www.lexisnexis.com/en-us/terms/us-privacy-notice.page,https://www.lexisnexis.com/en-us/terms/us-privacy-notice.page,FALSE,FALSE,FALSE,none found,none found,FALSE,success,,FALSE,FALSE,FALSE,
6,"Lotame Solutions, Inc.",www.lotame.com,FALSE,,https://www.lotame.com/privacy/privacy-manager/,https://www.lotame.com/privacy/privacy-manager/,https://www.lotame.com/privacy/information-privacy-choices-services/,FALSE,TRUE,TRUE,none found,none found,FALSE,success,,FALSE,FALSE,FALSE,
7,CITYDATA Inc.,citydata.ai,FALSE,,https://www.citydata.ai/privacy/do_not_sell_personal_information/,https://citydata.ai/privacy/do_not_sell_personal_information/,https://citydata.ai/privacy/do_not_sell_personal_information/,TRUE,FALSE,FALSE,none found,none found,FALSE,success,,FALSE,TRUE,FALSE,
8,"Unearth Campaigns, LLC",www.unearthcampaigns.com,FALSE,,https://www.unearthcampaigns.com/privacy-policy/,https://www.unearthcampaigns.com/privacy-policy/,https://www.unearthcampaigns.com/privacy-policy/,FALSE,FALSE,FALSE,none found,none found,FALSE,success,,FALSE,FALSE,FALSE,
9,"Censia, In.",www.censia.com,FALSE,,https://www.censia.com/ccpa/,https://www.censia.com/ccpa/,https://www.censia.com/ccpa/,FALSE,FALSE,FALSE,none found,none found,FALSE,success,,FALSE,FALSE,FALSE,
10,DecisionLinks,www.decisionlinks.com,FALSE,,https://www.decisionlinks.com/get-in-touch,https://www.decisionlinks.com/get-in-touch,https://www.decisionlinks.com/get-in-touch,FALSE,FALSE,FALSE,none found,none found,FALSE,success,,FALSE,FALSE,FALSE,
11,"MULTIMEDIA LISTS, INC.",www.multimedialists.com,FALSE,,https://www.multimedialists.com/privacy-policy/,https://www.multimedialists.com/privacy-policy/,https://multimedialists.com/privacy-policy/,FALSE,TRUE,FALSE,none found,none found,FALSE,success,,FALSE,FALSE,FALSE,
12,Nexxen Inc.,yourdata.nexxen.com,FALSE,,https://www.yourdata.nexxen.com,https://yourdata.nexxen.com,https://yourdata.nexxen.com/,TRUE,TRUE,FALSE,none found,none found,FALSE,success,,FALSE,FALSE,FALSE,
13,"Fushia Media, LLC.",fushiamedia.com,FALSE,,https://www.fushiamedia.com/privacy,https://fushiamedia.com/privacy,https://fushiamedia.com/privacy,TRUE,FALSE,TRUE,could not load page,could not load page,FALSE,error,HTTP 404 - Unknown error,FALSE,FALSE,FALSE,
14,"Predictive Pop, Inc.",www.audigent.com,FALSE,,https://www.audigent.com/privacy-center,https://www.audigent.com/privacy-center,https://audigent.com/privacy-center/,FALSE,TRUE,FALSE,none found,none found,FALSE,success,,FALSE,FALSE,FALSE,
15,Car Market Solutions LLC,carmarketsolutions.com,FALSE,,https://www.carmarketsolutions.com/privacy-notice/,https://carmarketsolutions.com/privacy-notice/,https://carmarketsolutions.com/privacy-notice/,TRUE,FALSE,TRUE,could not load page,could not load page,FALSE,error,HTTP 404 - Unknown error,FALSE,FALSE,FALSE,
16,"Monevo, Inc.",app.monevo.us,TRUE,,https://www.app.monevo.us/california-privacy-policy,https://app.monevo.us/california-privacy-policy,https://app.monevo.us/california-privacy-policy,TRUE,FALSE,TRUE,"<meta name=""robots"" content=""noindex, nofollow"">",none found,FALSE,success,,FALSE,FALSE,FALSE,
17,Malvern Media Inc.,privacyportal.privacypillar.com,FALSE,,https://www.privacyportal.privacypillar.com/dsar/form?orgid=369c8ff9-8ffb-4308-8362-f01691e77db8&propid=64c8904f-8bac-4dd9-8e6c-d052be1918a2&formid=6e6ff4b8-2296-4589-ae7f-563fa743ec2d&status=publish,https://privacyportal.privacypillar.com/dsar/form?orgid=369c8ff9-8ffb-4308-8362-f01691e77db8&propid=64c8904f-8bac-4dd9-8e6c-d052be1918a2&formid=6e6ff4b8-2296-4589-ae7f-563fa743ec2d&status=publish,https://privacyportal.privacypillar.com/dsar/form?orgid=369c8ff9-8ffb-4308-8362-f01691e77db8&propid=64c8904f-8bac-4dd9-8e6c-d052be1918a2&formid=6e6ff4b8-2296-4589-ae7f-563fa743ec2d&status=publish,TRUE,FALSE,TRUE,"<meta name=""robots"" content=""noindex"">",none found,FALSE,success,,FALSE,FALSE,FALSE,
18,Grassroots Analytics,www.grassrootsanalytics.com,FALSE,,https://www.grassrootsanalytics.com/california-consumer-privacy-act-ccpa,https://www.grassrootsanalytics.com/california-consumer-privacy-act-ccpa,https://www.grassrootsanalytics.com/california-consumer-privacy-act-ccpa,FALSE,FALSE,FALSE,none found,none found,FALSE,success,,TRUE,FALSE,FALSE,
